"keyword","ngram","left","right","freq","freq_left","freq_right","pmi","md","lfmd"
"isit or",2,"isit","or",7,7,7,12.7057557948326,0,-12.7057557948326
"the isit or",3,"the isit","or",6,6,7,12.7028529247939,-0.222392421336448,-13.1476377674668
"the sleep waker",3,"the sleep","waker",8,8,10,12.1882797519641,-0.321928094887362,-12.8321359417389
"prince prospero",2,"prince","prospero",6,12,6,11.928148216169,-1,-13.928148216169
"ugh ugh",2,"ugh","ugh",14,15,15,11.5066844477308,-0.199071347101829,-11.9048271419344
"ugh ugh ugh",3,"ugh ugh","ugh",13,14,15,11.4964020473265,-0.313366081383938,-12.1231342100944
"von kempelen",2,"von","kempelen",11,17,12,11.300116993556,-0.753562104696901,-12.8072412029498
"the water lily",3,"the water","lily",6,20,13,10.0728025345442,-2.85244281158614,-15.7776881577165
"sleep waker",2,"sleep","waker",9,43,10,9.93484286874305,-2.40834284670484,-14.7515285621527
"water lily",2,"water","lily",8,41,13,9.45511899413102,-3.05799172275918,-15.5711024396494
"say the king",3,"say the","king",21,43,39,9.19085829606592,-1.92703212800683,-13.0449225520796
"black cat",2,"black","cat",7,32,19,9.07253812550421,-3.63321766932838,-16.338973464161
"the unparticled matter",3,"the unparticled","matter",8,9,86,8.9140180907071,-3.59618975614441,-16.1063976029959
"unparticled matter",2,"unparticled","matter",10,12,86,8.8238115563543,-3.36737106564853,-15.5585536876514
"the ultimate life",3,"the ultimate","life",7,14,53,8.78228739228831,-3.9205655325056,-16.6234184572995
"the red death",3,"the red","death",6,10,70,8.64395923574033,-4.28128611039002,-17.2065314565204
"the man animal",3,"the man","animal",6,31,24,8.55601153646463,-4.36923380966572,-17.2944791557961
"ultimate life",2,"ultimate","life",7,19,54,8.31765062334074,-4.38810517149185,-17.0938609663244
"house usher",2,"house","usher",6,40,24,8.19118262200283,-4.73696559416621,-17.6651138103352
"very remarkable",2,"very","remarkable",7,144,9,7.98061563606317,-4.72514015876942,-17.430895953602
"beyond doubt",2,"beyond","doubt",6,28,40,7.96879020066638,-4.95935801550265,-17.8875062316717
"sit down",2,"sit","down",6,24,51,7.8406853749187,-5.08746284125034,-18.0156110574194
"red death",2,"red","death",6,18,70,7.79886519922407,-5.12928301694497,-18.057431233114
"full length",2,"full","length",7,34,73,7.04317823881744,-5.66257755601515,-18.3683333508477
"few word",2,"few","word",6,41,53,7.01260075843007,-5.91554745773897,-18.843695673908
"man animal",2,"man","animal",7,117,24,6.86513841864324,-5.84061737618935,-18.5463731710219
"those who",2,"those","who",13,49,107,6.85737360451493,-4.95529739423417,-16.7679683929833
"take place",2,"take","place",8,76,43,6.83891844874451,-5.67419226814568,-18.1873029850359
"or not",2,"or","not",7,7,412,6.82661018970698,-5.87914560512561,-18.5849013999582
"isit or not",3,"isit or","not",7,7,412,6.82370731966829,-5.87914560512561,-18.5819985299195
"for example",2,"for","example",17,442,17,6.72520815749876,-4.70043971814109,-16.1260875937809
"upon the rock",3,"upon the","rock",8,161,23,6.65572901267988,-5.85447883417163,-18.3646866810231
"not help",2,"not","help",8,414,9,6.64969875794856,-5.86341195894164,-18.3765226758318
"say dupin",2,"say","dupin",15,229,32,6.58079752440177,-5.02542259687991,-16.6316427181616
"many minute",2,"many","minute",6,67,44,6.57255240851628,-6.35559580765276,-19.2837440238218
"da not",2,"da","not",9,11,412,6.53710357251199,-5.80608214293589,-18.1492678583838
"less than",2,"less","than",8,29,141,6.51557836936383,-5.99753234752637,-18.5106430644166
"every thing",2,"every","thing",7,51,72,6.47811529553399,-6.2276404992986,-18.9333962941312
"after long",2,"after","long",8,57,96,6.0952582020043,-6.4178525148859,-18.9309632317761
"find myself",2,"find","myself",7,79,62,6.06248858038382,-6.64326721444877,-19.3490230092814
"some minute",2,"some","minute",8,138,44,5.94515464147473,-6.56795607541547,-19.0810667923057
"need not",2,"need","not",6,12,412,5.82661018970698,-7.10153802646206,-20.0296862426311
"for several",2,"for","several",10,442,19,5.79920873894254,-6.39197388306029,-18.5831565050631
"more than",2,"more","than",30,187,141,5.73355550021228,-4.87266462106939,-15.4788847423511
"well know",2,"well","know",7,89,71,5.69498508847672,-7.01077070635587,-19.7165265011885
"can not",2,"can","not",27,61,412,5.65076035430756,-5.10746286041917,-15.8656860751459
"these word",2,"these","word",7,136,53,5.50508234313426,-7.20067345169833,-19.9064292465309
"do not",2,"do","not",32,85,412,5.41721925356927,-5.09589146332092,-15.6090021802111
"there come",2,"there","come",18,246,81,5.40067121010864,-5.94251450533924,-17.2857002207871
"could not",2,"could","not",42,122,412,5.28819027492285,-4.83260301918858,-14.9533963133
